Scheme Name,Short Title,Category,Level,State,Nodal Ministry,Priority,Details,Benefits,Eligibility Criteria,Application Process,combined_text
Skill Loan Scheme,SL,"['Skills & Employment', 'Banking,Financial Services and Insurance']",Central,['All'],Ministry Of Skill Development And Entrepreneurship,1.0,"The Skill Loan Scheme was launched in July 2015 to provide institutional credit to individuals for skill development courses aligned to National Occupations Standards and Qualification Packs and leading to a certificate/diploma/degree by training institutes as per National Skill Qualification Framework (NSQF). This scheme is applicable to all member banks of the Indian Banks’ Association (IBA) and any other banks and financial institutions as may be advised by the RBI. The scheme provides broad guidelines to the banks for operationalizing the skilling loan scheme. #### Salient features of the guidelines to banks for operationalizing the scheme:

1. Eligibility –Any individual who has secured admission in a course run by Industrial Training Institutes (ITIs), Polytechnics or in a school recognized by Central or State education Boards or in a college affiliated to a recognized university, training partners affiliated to National Skill Development Corporation (NSDC) / Sector Skill Councils, State Skill Mission, State Skill Corporation
1. Courses – Aligned to NSQF
1. Quantum of Finance – Rs 5000-1,50,000
1. Duration of Course – No minimum duration
1. Rate of Interest – Base rate (MCLR) + an add on typically up to 1.5%
1. Moratorium – Duration of the course
1. Repayment Period – Between 3 to 7 years basis the amount of loan
1. Loans upto ₹ 50,000 - Upto 3 years
1. Loans between ₹ 50,000 to ₹ 1 lakh - Upto 5 years
1. Loans above ₹ 1 lakh - Upto 7 years
1. Coverage – Course Fees (directly to the training institute) along with expenses towards completion of the course (assessment, examination, study material, etc.)
1. The scheme does not allow for a collateral to be charged from the beneficiary.
1. MSDE, through a November 2015 notification, brought into force the Credit Guarantee Fund for Skill Development (CGFSSD) for all skill loans sanctioned on or after 15 July 2015, to be administered by the National Credit Guarantee Trust Company (NCGTC).
1. Banks can apply to the NCGTC for credit guarantee against defaults and NCGTC will provide this guarantee at nominal fee which shall not exceed 0.5% of the amount outstanding. The guarantee cover will be for a maximum of 75% of the outstanding loan amount (including interest, if any).
1.  As per the information provided by Indian Bank’s Association (IBA) in respect of 21 Banks, a total skill loan of Rs 29.06 crore was disbursed during the year 2018-19 (as on September 2018).","Courses 
Aligned to NSQF

Quantum of Finance
 Rs 5000-1,50,000

Duration of Course 
No minimum duration

Rate of Interest 
Base rate (MCLR) + an add on typically up to 1.5%

Moratorium 
Duration of the course

Repayment Period 
Between 3 to 7 years basis the amount of loan

Loan
Loans upto ₹ 50,000 - Upto 3 years
Loans between ₹ 50,000 to ₹ 1 lakh - Upto 5 years
Loans above ₹ 1 lakh - Upto 7 years

Coverage 
Course Fees (directly to the training institute) along with expenses towards completion of the course (assessment, examination, study material, etc.)
The scheme does not allow for a collateral to be charged from the beneficiary.

MSDE, through a November 2015 notification, brought into force the Credit Guarantee Fund for Skill Development (CGFSSD) for all skill loans sanctioned on or after 15 July 2015, to be administered by the National Credit Guarantee Trust Company (NCGTC).

Banks can apply to the NCGTC for credit guarantee against defaults and NCGTC will provide this guarantee at nominal fee which shall not exceed 0.5% of the amount outstanding. The guarantee cover will be for a maximum of 75% of the outstanding loan amount (including interest, if any).
","A student who has secured admission in a course run by Industrial Training Institutes (ITIs), Polytechnics or in a school recognized by Central or State education Boards or in a college affiliated to a recognized university, training partners affiliated to National Skill Development Corporation (NSDC) / Sector Skill Councils, State Skill Mission, State Skill Corporation","Online:
- 
- 
- 
-","Scheme Name: Skill Loan Scheme
State: ['All']
Ministry: Ministry Of Skill Development And Entrepreneurship
Details: The Skill Loan Scheme was launched in July 2015 to provide institutional credit to individuals for skill development courses aligned to National Occupations Standards and Qualification Packs and leading to a certificate/diploma/degree by training institutes as per National Skill Qualification Framework (NSQF). This scheme is applicable to all member banks of the Indian Banks’ Association (IBA) and any other banks and financial institutions as may be advised by the RBI. The scheme provides broad guidelines to the banks for operationalizing the skilling loan scheme. #### Salient features of the guidelines to banks for operationalizing the scheme:

1. Eligibility –Any individual who has secured admission in a course run by Industrial Training Institutes (ITIs), Polytechnics or in a school recognized by Central or State education Boards or in a college affiliated to a recognized university, training partners affiliated to National Skill Development Corporation (NSDC) / Sector Skill Councils, State Skill Mission, State Skill Corporation
1. Courses – Aligned to NSQF
1. Quantum of Finance – Rs 5000-1,50,000
1. Duration of Course – No minimum duration
1. Rate of Interest – Base rate (MCLR) + an add on typically up to 1.5%
1. Moratorium – Duration of the course
1. Repayment Period – Between 3 to 7 years basis the amount of loan
1. Loans upto ₹ 50,000 - Upto 3 years
1. Loans between ₹ 50,000 to ₹ 1 lakh - Upto 5 years
1. Loans above ₹ 1 lakh - Upto 7 years
1. Coverage – Course Fees (directly to the training institute) along with expenses towards completion of the course (assessment, examination, study material, etc.)
1. The scheme does not allow for a collateral to be charged from the beneficiary.
1. MSDE, through a November 2015 notification, brought into force the Credit Guarantee Fund for Skill Development (CGFSSD) for all skill loans sanctioned on or after 15 July 2015, to be administered by the National Credit Guarantee Trust Company (NCGTC).
1. Banks can apply to the NCGTC for credit guarantee against defaults and NCGTC will provide this guarantee at nominal fee which shall not exceed 0.5% of the amount outstanding. The guarantee cover will be for a maximum of 75% of the outstanding loan amount (including interest, if any).
1.  As per the information provided by Indian Bank’s Association (IBA) in respect of 21 Banks, a total skill loan of Rs 29.06 crore was disbursed during the year 2018-19 (as on September 2018).
Eligibility Criteria: A student who has secured admission in a course run by Industrial Training Institutes (ITIs), Polytechnics or in a school recognized by Central or State education Boards or in a college affiliated to a recognized university, training partners affiliated to National Skill Development Corporation (NSDC) / Sector Skill Councils, State Skill Mission, State Skill Corporation
Benefits: Courses 
Aligned to NSQF

Quantum of Finance
 Rs 5000-1,50,000

Duration of Course 
No minimum duration

Rate of Interest 
Base rate (MCLR) + an add on typically up to 1.5%

Moratorium 
Duration of the course

Repayment Period 
Between 3 to 7 years basis the amount of loan

Loan
Loans upto ₹ 50,000 - Upto 3 years
Loans between ₹ 50,000 to ₹ 1 lakh - Upto 5 years
Loans above ₹ 1 lakh - Upto 7 years

Coverage 
Course Fees (directly to the training institute) along with expenses towards completion of the course (assessment, examination, study material, etc.)
The scheme does not allow for a collateral to be charged from the beneficiary.

MSDE, through a November 2015 notification, brought into force the Credit Guarantee Fund for Skill Development (CGFSSD) for all skill loans sanctioned on or after 15 July 2015, to be administered by the National Credit Guarantee Trust Company (NCGTC).

Banks can apply to the NCGTC for credit guarantee against defaults and NCGTC will provide this guarantee at nominal fee which shall not exceed 0.5% of the amount outstanding. The guarantee cover will be for a maximum of 75% of the outstanding loan amount (including interest, if any).
Application Process: Online:
- 
- 
- 
-
"
National Overseas Scholarship For Students With Disabilities,NOS-SWD,"['Education & Learning', 'Social welfare & Empowerment']",Central,['All'],Ministry Of Social Justice and Empowerment,1.0,"A scholarship scheme by the Ministry of Social Justice & Empowerment for regular, full-time students with disabilities to obtain higher education viz., Master's degree, or Ph.D. courses from foreign universities, in one of the specified fields of study. The students with the specified disabilities defined in Schedule of the ""Rights of Persons with Disabilities Act, 2016"" will be eligible under this scheme. This includes persons with visual, hearing, speech, loco-motor, mental retardation, and other disabilities. NOS is implemented offline by the DEPwD. At times SwDs are deprived of harnessing their latent skills and thereby miss the opportunity. This scheme aims to support SwDs to study further in order to prepare themselves to earn their livelihood and to find a dignified place for themselves in the society as they face several barriers physical, financial, psychological, mental in pursuing studies and living with dignity.","Annual Maintenance Allowance: 
For United States of America (USA) & other countries except UK: $15400 (US Dollars); For United Kingdom (UK): 9900 GBP (Great Britain Pounds)
Contingency Allowance: 
For United States of America (USA) & other countries except UK: $1500 (US Dollars); For United Kingdom (UK): 1100 GBP (Great Britain Pounds)
Equipment Allowance:
 1500 INR
Tuition Fees:
 Actual as charged
Visa Fees:
 Actual Visa Fees in INR
Poll Tax:
 Actual as charged
Medical Insurance Premium:
 Actual as charged
Incidental Journey Allowance & Equipment Allowance: 
20 US Dollars for each or its equivalent in INR.
Air Passage: 
Air passage grant on actual basis from India to the nearest place to the educational institution and back to India, by economy class and shortest route in arrangements with the national carrier, shall be provided.
Local Travel: 
Second or Coach Class railway fare from the port of disembarkation to the place of study and back. 
In case of far flung places not connected by rail, bus fare(s) from the place of residence to the nearest railway station, actual charge of crossing by ferry, airfare to the nearest rail-cum-air Station and/or second class railway fare by the shortest route to the port of embarkation and back will be permissible. For attending interviews by the candidates at the place decided by the Government of India, the second-class fare/ordinary class bus fare from the city of their place of residence to the city in which the interviews for selection have been decided by the Government of India will be permissible.","1. The applicant must be a student.
1. The applicant must be Admitted into (or received an unconditional offer of admission) Masters's level courses and Ph.D. courses abroad in institutions/universities accredited by the Government/authorized body of that country.
1. The Disability Percentage of the applicant must be 40% & above.
1. The applicant must be 35 years or lesser in age, as on the first day of the month of advertisement of the scheme.
1. The Total Family Income of the applicant (from all sources) must not exceed ₹ 6 lakh per annum.","Offline:
- 
- 
- 
- 
- 
- 
- 
- 
- 
- 
- 
- 
-","Scheme Name: National Overseas Scholarship For Students With Disabilities
State: ['All']
Ministry: Ministry Of Social Justice and Empowerment
Details: A scholarship scheme by the Ministry of Social Justice & Empowerment for regular, full-time students with disabilities to obtain higher education viz., Master's degree, or Ph.D. courses from foreign universities, in one of the specified fields of study. The students with the specified disabilities defined in Schedule of the ""Rights of Persons with Disabilities Act, 2016"" will be eligible under this scheme. This includes persons with visual, hearing, speech, loco-motor, mental retardation, and other disabilities. NOS is implemented offline by the DEPwD. At times SwDs are deprived of harnessing their latent skills and thereby miss the opportunity. This scheme aims to support SwDs to study further in order to prepare themselves to earn their livelihood and to find a dignified place for themselves in the society as they face several barriers physical, financial, psychological, mental in pursuing studies and living with dignity.
Eligibility Criteria: 1. The applicant must be a student.
1. The applicant must be Admitted into (or received an unconditional offer of admission) Masters's level courses and Ph.D. courses abroad in institutions/universities accredited by the Government/authorized body of that country.
1. The Disability Percentage of the applicant must be 40% & above.
1. The applicant must be 35 years or lesser in age, as on the first day of the month of advertisement of the scheme.
1. The Total Family Income of the applicant (from all sources) must not exceed ₹ 6 lakh per annum.
Benefits: Annual Maintenance Allowance: 
For United States of America (USA) & other countries except UK: $15400 (US Dollars); For United Kingdom (UK): 9900 GBP (Great Britain Pounds)
Contingency Allowance: 
For United States of America (USA) & other countries except UK: $1500 (US Dollars); For United Kingdom (UK): 1100 GBP (Great Britain Pounds)
Equipment Allowance:
 1500 INR
Tuition Fees:
 Actual as charged
Visa Fees:
 Actual Visa Fees in INR
Poll Tax:
 Actual as charged
Medical Insurance Premium:
 Actual as charged
Incidental Journey Allowance & Equipment Allowance: 
20 US Dollars for each or its equivalent in INR.
Air Passage: 
Air passage grant on actual basis from India to the nearest place to the educational institution and back to India, by economy class and shortest route in arrangements with the national carrier, shall be provided.
Local Travel: 
Second or Coach Class railway fare from the port of disembarkation to the place of study and back. 
In case of far flung places not connected by rail, bus fare(s) from the place of residence to the nearest railway station, actual charge of crossing by ferry, airfare to the nearest rail-cum-air Station and/or second class railway fare by the shortest route to the port of embarkation and back will be permissible. For attending interviews by the candidates at the place decided by the Government of India, the second-class fare/ordinary class bus fare from the city of their place of residence to the city in which the interviews for selection have been decided by the Government of India will be permissible.
Application Process: Offline:
- 
- 
- 
- 
- 
- 
- 
- 
- 
- 
- 
- 
-
"
Post Matric Scholarship Students With Disabilities,POST-DIS,"['Education & Learning', 'Social welfare & Empowerment']",Central,['All'],Ministry Of Social Justice and Empowerment,1.0,"A scholarship scheme by DoEPwD for students with disabilities pursuing a post-matric qualification from UGC/AICTE recognized universities, i.e. students of Class 11th, Class 12th, including Polytechnics, Post-Matriculation Diploma/Certificates and Bachelor’s Degree/Diploma in India and Master’s Degree/Diploma. The students with the specified disabilities defined in Schedule of the ""Rights of Persons with Disabilities Act, 2016"" will be eligible under this scheme. This includes persons with visual, hearing, speech, loco-motor, mental retardation, and other disabilities. NOS is implemented offline by the DEPwD. At times SwDs are deprived of harnessing their latent skills and thereby miss the opportunity. This scheme aims to support SwDs to study further in order to prepare themselves to earn their livelihood and to find a dignified place for themselves in the society as they face several barriers physical, financial, psychological, mental in pursuing studies and living with dignity.","Maintenance Allowance (₹ per Month):

Group 1: 
All Bachelor’s/Post-Graduate Degree Courses in Medicine, Engineering/Technology, Planning/Architecture, Fashion Technology, Management, Business/Finance Administration, Computer Science/Applications, Agriculture, Veterinary and Allied Sciences; 
Hostellers – 1600; Day Scholars – 750
Group 2: 
Professional Courses leading to Degree / Diploma, Certificate in areas like Pharmacy (B.Pharma), LLB, BFS, other para-medical branches like Rehabilitation, Diagnostics etc., Mass Communication, Hotel Management & Catering, Travel/Tourism/Hospitality, Interior Decoration, Nutrition & Dietetics, Commercial Art, Financial Services (e.g. Banking Insurance, Taxation etc.); 
Hostellers – 1100; Day Scholars – 700
Group 3: 
All other courses leading to a Graduate Degree not covered under Group 1 and 2, e.g. BA/B.Sc/B.Com etc. 
Hostellers – 950; Day Scholars – 650
Group 4: 
All Post-Matriculation Level Non-Degree courses for which entrance qualification is High School (Class 10th), e.g. Senior Secondary Certificate (Class 11th and 12th), both general and vocational stream, ITI courses, 3-year diploma courses in Polytechnics etc. 
Hostellers – 900; Day Scholars – 550

Disability Allowances (₹/Annum):
Visually Impaired – 4000.
Hearing Impaired – 2000.
Physically Disabled (OH) – 2000.
Intellectual Disabilities – 4000.
All other types of disability not covered above – 2000. 

Book Allowance:
 ₹1500/- per annum.","1. The applicant must be a student.
1. The applicant must be pursuing a post-matric qualification, i.e. Class 11th, Class 12th, including Polytechnics, Post-Matriculation Diploma/Certificates and Bachelor’s Degree/Diploma in India and Master’s Degree/Diploma.
1. The applicant must be disabled, with disability percentage of 40% or above.
1. The Total Annual income of parents/guardians of the applicant (from all sources) must not exceed ₹ 2.50 Lakh per Annum.
1. The applicant must not be availing any other scholarship by the govt.
1. The applicant must not be the third sibling of the family who has been given this scholarship.","Online:
- 
- 
- 
- 
- 
- 
- 
- 
- 
- 
- 
- 
- 
- 
- 
- 
- 
- 
- 
-","Scheme Name: Post Matric Scholarship Students With Disabilities
State: ['All']
Ministry: Ministry Of Social Justice and Empowerment
Details: A scholarship scheme by DoEPwD for students with disabilities pursuing a post-matric qualification from UGC/AICTE recognized universities, i.e. students of Class 11th, Class 12th, including Polytechnics, Post-Matriculation Diploma/Certificates and Bachelor’s Degree/Diploma in India and Master’s Degree/Diploma. The students with the specified disabilities defined in Schedule of the ""Rights of Persons with Disabilities Act, 2016"" will be eligible under this scheme. This includes persons with visual, hearing, speech, loco-motor, mental retardation, and other disabilities. NOS is implemented offline by the DEPwD. At times SwDs are deprived of harnessing their latent skills and thereby miss the opportunity. This scheme aims to support SwDs to study further in order to prepare themselves to earn their livelihood and to find a dignified place for themselves in the society as they face several barriers physical, financial, psychological, mental in pursuing studies and living with dignity.
Eligibility Criteria: 1. The applicant must be a student.
1. The applicant must be pursuing a post-matric qualification, i.e. Class 11th, Class 12th, including Polytechnics, Post-Matriculation Diploma/Certificates and Bachelor’s Degree/Diploma in India and Master’s Degree/Diploma.
1. The applicant must be disabled, with disability percentage of 40% or above.
1. The Total Annual income of parents/guardians of the applicant (from all sources) must not exceed ₹ 2.50 Lakh per Annum.
1. The applicant must not be availing any other scholarship by the govt.
1. The applicant must not be the third sibling of the family who has been given this scholarship.
Benefits: Maintenance Allowance (₹ per Month):

Group 1: 
All Bachelor’s/Post-Graduate Degree Courses in Medicine, Engineering/Technology, Planning/Architecture, Fashion Technology, Management, Business/Finance Administration, Computer Science/Applications, Agriculture, Veterinary and Allied Sciences; 
Hostellers – 1600; Day Scholars – 750
Group 2: 
Professional Courses leading to Degree / Diploma, Certificate in areas like Pharmacy (B.Pharma), LLB, BFS, other para-medical branches like Rehabilitation, Diagnostics etc., Mass Communication, Hotel Management & Catering, Travel/Tourism/Hospitality, Interior Decoration, Nutrition & Dietetics, Commercial Art, Financial Services (e.g. Banking Insurance, Taxation etc.); 
Hostellers – 1100; Day Scholars – 700
Group 3: 
All other courses leading to a Graduate Degree not covered under Group 1 and 2, e.g. BA/B.Sc/B.Com etc. 
Hostellers – 950; Day Scholars – 650
Group 4: 
All Post-Matriculation Level Non-Degree courses for which entrance qualification is High School (Class 10th), e.g. Senior Secondary Certificate (Class 11th and 12th), both general and vocational stream, ITI courses, 3-year diploma courses in Polytechnics etc. 
Hostellers – 900; Day Scholars – 550

Disability Allowances (₹/Annum):
Visually Impaired – 4000.
Hearing Impaired – 2000.
Physically Disabled (OH) – 2000.
Intellectual Disabilities – 4000.
All other types of disability not covered above – 2000. 

Book Allowance:
 ₹1500/- per annum.
Application Process: Online:
- 
- 
- 
- 
- 
- 
- 
- 
- 
- 
- 
- 
- 
- 
- 
- 
- 
- 
- 
-
"
RMEWF-Financial Assistance For Medical Treatment Of Ex-Servicemen,RMEWF,['Health & Wellness'],Central,['All'],Ministry Of Defence,1.0,"A scheme to provide financial assistance to a non-pensioner Ex-Servicemen/widows of ranks up to Havildar/equivalent to meet routine medical expenses. With ever increasing costs of health care, it becomes extremely difficult for non-pensioner ESM to combat diseases especially in old age. At such age, medical expenses push such ESM into a state of poverty and loss of dignity. The scheme to provide financial assistance to non-pensioners, who are without any other sources of income and in state of penury, **Treatment of Serious Diseases**
The expenditure incurred on treatment of various serious ailments is covered under a separate scheme","A Financial assistance up to a maximum of Rs.30,000/- per year per eligible Ex-Servicemen/widow is provided in a financial year.
","The following criteria must be fulfilled:- - Applicant must be a non-pensioner ESM or his widow.
- Should be of rank Havildar/equivalent and below.
- Should be recommended by respective Zila Sainik Board (ZSB).
- Expenditure must be incurred at recognized government hospitals at rates approved under CGHS/ ECHS.","Online:
- 
- 
- 
- 
- 
- 
- 
- 
-","Scheme Name: RMEWF-Financial Assistance For Medical Treatment Of Ex-Servicemen
State: ['All']
Ministry: Ministry Of Defence
Details: A scheme to provide financial assistance to a non-pensioner Ex-Servicemen/widows of ranks up to Havildar/equivalent to meet routine medical expenses. With ever increasing costs of health care, it becomes extremely difficult for non-pensioner ESM to combat diseases especially in old age. At such age, medical expenses push such ESM into a state of poverty and loss of dignity. The scheme to provide financial assistance to non-pensioners, who are without any other sources of income and in state of penury, **Treatment of Serious Diseases**
The expenditure incurred on treatment of various serious ailments is covered under a separate scheme
Eligibility Criteria: The following criteria must be fulfilled:- - Applicant must be a non-pensioner ESM or his widow.
- Should be of rank Havildar/equivalent and below.
- Should be recommended by respective Zila Sainik Board (ZSB).
- Expenditure must be incurred at recognized government hospitals at rates approved under CGHS/ ECHS.
Benefits: A Financial assistance up to a maximum of Rs.30,000/- per year per eligible Ex-Servicemen/widow is provided in a financial year.
Application Process: Online:
- 
- 
- 
- 
- 
- 
- 
- 
-
"
Stand-Up India,SUPI,"['Business & Entrepreneurship', 'Banking,Financial Services and Insurance', 'Social welfare & Empowerment']",Central,['All'],Ministry Of Finance,1.0,"A scheme by Ministry of Finance for financing SC/ST and/or Women Entrepreneurs by facilitating bank loans for setting up a greenfield project  enterprise in manufacturing, services, trading sector and activities allied to agriculture. The objective of this scheme is to facilitate bank loans between Rs. 10 lakh and Rs. 1 Crore to at least one Scheduled Caste (SC) or Scheduled Tribe (ST) borrower and at least one woman borrower per bank branch for setting up a greenfield enterprise. In case of non-individual enterprises, at least 51% of the shareholding and controlling stake should be held by either an SC/ST or Woman entrepreneur.","Facilitation of composite loan (inclusive of term loan and working capital) between ₹10 Lakhs and ₹100 Lakhs. Rupay debit card to be issued for convenience of the borrower.
The web portal by SIDBI provides hand-holding support through a network of agencies engaged in training, skill development, mentoring, project report preparation, application filling, work shed / utility support services, subsidy schemes etc.","- Finance is  provided for Greenfield Enterprises.
- If the applicant is a male, he must be from SC / ST category.
- The age of the applicant must be at least 18 years.
- The applicant must not be in default to any bank/financial institution.","Online:
- 
- 
- 
- 
-","Scheme Name: Stand-Up India
State: ['All']
Ministry: Ministry Of Finance
Details: A scheme by Ministry of Finance for financing SC/ST and/or Women Entrepreneurs by facilitating bank loans for setting up a greenfield project  enterprise in manufacturing, services, trading sector and activities allied to agriculture. The objective of this scheme is to facilitate bank loans between Rs. 10 lakh and Rs. 1 Crore to at least one Scheduled Caste (SC) or Scheduled Tribe (ST) borrower and at least one woman borrower per bank branch for setting up a greenfield enterprise. In case of non-individual enterprises, at least 51% of the shareholding and controlling stake should be held by either an SC/ST or Woman entrepreneur.
Eligibility Criteria: - Finance is  provided for Greenfield Enterprises.
- If the applicant is a male, he must be from SC / ST category.
- The age of the applicant must be at least 18 years.
- The applicant must not be in default to any bank/financial institution.
Benefits: Facilitation of composite loan (inclusive of term loan and working capital) between ₹10 Lakhs and ₹100 Lakhs. Rupay debit card to be issued for convenience of the borrower.
The web portal by SIDBI provides hand-holding support through a network of agencies engaged in training, skill development, mentoring, project report preparation, application filling, work shed / utility support services, subsidy schemes etc.
Application Process: Online:
- 
- 
- 
- 
-
"
Pradhan Mantri Suraksha Bima Yojana,PMSBY,"['Banking,Financial Services and Insurance']",Central,['All'],Ministry Of Finance,1.0,"An Accident Insurance Scheme offering accidental death and disability cover for death or disability on account of an accident.
**Premium:**
Rs.20/- per annum per member. The premium will be deducted from the account holder’s bank / Post office account through ‘auto debit’ facility on or before 1st June of each annual coverage period under the scheme. 
**Coverage Duration:**
Coverage under PMJJBY is valid for one year from 1st June to 31st May on payment of annual premium.
**Accident cover assurance termination:**
The accident cover of the member shall terminate / be restricted accordingly on any of the following events:
•	On attaining age 70 years (age nearer birth day).
•	Closure of account with the Bank or insufficiency of balance to keep the insurance in force.
In case a member is covered under PMSBY through more than one account and premium is received by insurance company inadvertently, insurance cover will be restricted to Rs. 2 lakh.","On Death- the Nominee shall get Rs. 2 Lakhs.
Total and irrecoverable loss of both eyes or loss of use of both hands or feet or loss of sight of one eye and loss of use of hand or foot-  Subscriber shall get Rs. 2 Lakhs.
Total and irrecoverable loss of sight of one eye or loss of use of one hand or foot –subscriber shall get Rs. 1 Lakh.","Individual bank account holders of participating banks aged between 18 years (completed) and 70 years (age nearer birthday) who give their consent to join / enable auto-debit, will be enrolled into the scheme.","Offline:
- 
- 
- 
- 
- 
- 
Online:
-","Scheme Name: Pradhan Mantri Suraksha Bima Yojana
State: ['All']
Ministry: Ministry Of Finance
Details: An Accident Insurance Scheme offering accidental death and disability cover for death or disability on account of an accident.
**Premium:**
Rs.20/- per annum per member. The premium will be deducted from the account holder’s bank / Post office account through ‘auto debit’ facility on or before 1st June of each annual coverage period under the scheme. 
**Coverage Duration:**
Coverage under PMJJBY is valid for one year from 1st June to 31st May on payment of annual premium.
**Accident cover assurance termination:**
The accident cover of the member shall terminate / be restricted accordingly on any of the following events:
•	On attaining age 70 years (age nearer birth day).
•	Closure of account with the Bank or insufficiency of balance to keep the insurance in force.
In case a member is covered under PMSBY through more than one account and premium is received by insurance company inadvertently, insurance cover will be restricted to Rs. 2 lakh.
Eligibility Criteria: Individual bank account holders of participating banks aged between 18 years (completed) and 70 years (age nearer birthday) who give their consent to join / enable auto-debit, will be enrolled into the scheme.
Benefits: On Death- the Nominee shall get Rs. 2 Lakhs.
Total and irrecoverable loss of both eyes or loss of use of both hands or feet or loss of sight of one eye and loss of use of hand or foot-  Subscriber shall get Rs. 2 Lakhs.
Total and irrecoverable loss of sight of one eye or loss of use of one hand or foot –subscriber shall get Rs. 1 Lakh.
Application Process: Offline:
- 
- 
- 
- 
- 
- 
Online:
-
"
